,Tweets,,,
765,"The ongoing rain spell has caused devastation across the country. The losses, though yet to be documented, are comaprable to flash floods of 2010. Grateful to the international community for their symapthies, condolences & pledges of support. Together we will build back better.",,,
766,"Government has decided to continue targeted subsidy on five essential items of daily use at Utility Stores for the next financial year. We are working toward a transparent, efficient & digital system where various subsidies will be brought under one umbrella.",,,
767,د سېلاب متاثرینو لپاره د پاکستان لومړۍ مرستہ افغانستان ته رسېدلې ده چې له دې وروسته به د نورھم واستول شي. پاکستان به د افغان وروڼو او خویندو تر څنګ ولاړ وي. نور ھیوادونہ دی ھم په دې وخت کې افغانان هیر نکړي,,,
768,Hearing about the massive evacuations in wake of heavy floods & landslides in southern China. We express our sympathies for and solidarity with our Chinese brothers and sisters in this time of hardship.,,,
769,"My visit to the UAE is aimed at building on the conversation I have had with H.H. President Sheikh 
@MohamedBinZayed
. We share a resolve & understanding that the continuous efforts need to be made to further strengthen trade, investment & economic relations.",,,
770,میرے گزشتہ روز صحبت پور بلوچستان کےدورے کےبعد 15 ٹن صاف پانی اور 1.5 لاکھ مچھردانیوں کی فراہمی فوری بنیادوں پر یقینی بنائی جا رہی ہے. کل دو ہیلی کاپٹروں اور ٹرکوں کےذریعے پانی پہنچایا گیااور آج مزید پہنچایا جائےگا. آج سیلابی پانی نکالنےکیلئے20 پمپ بھی صحبت پور پہنچا دیئے جائیں گے,,,
771,Imran Niazi’s despicable utterances to malign institutions are touching new levels every day. He is now indulging in direct mud-slinging & poisonous allegations against Armed Forces & its leadership. His nefarious agenda is clearly to disrupt & undermine Pakistan.,,,
772,"Held a very productive meeting with HH Sheikh Tamim bin Hamad Al-Thani, Emir of Qatar. We have decided to take our excellent bilateral relations to the next level of strategic engagement. Grateful to HH Emir for Qatar's investment of $3 billion in various sectors of our economy.",,,
773,جموں کشمیر لبریشن فرنٹ کے چیئرمین یٰسین ملک کے خلاف غیر قانونی کاروائیاں ایک افسوسناک عمل ہے۔ اس طرح کی حرکات سے کشمیری عوام کو ان کے حقوق سے محروم نہیں رکھا جا سکتا۔ تمام عالمی اور انسانی حقوق کی تنظیموں کو اس کے خلاف اپنی آواز بلند کرنی چاہئے۔,,,
774,"What a win for Zimbabwe! Congratulations to the Chevrons. 

Next time, send the real Mr Bean…#PakvsZim ",,,
775,"I look forward to engaging with high-powered economic team of the UAE today. This visit is a follow-up to my meeting with HH Crown Prince Mohammed  bin Zayed in which we had resolved to comprehensively upgrade bilateral economic, trade & investment cooperation.",,,
776,کسان پیکیج پر عملدرآمد تیزی سے جاری ہے۔سیلاب متاثرہ کسانوں کی سہولت و مدد کیلئےحکومت ہر طرح کےاقدامات کررہی ہے۔میں نےزرعی اجناس کےتمام کارگوز کے50 فیصد حصے کیلئےگوادر پورٹ کےاستعمال کی ہدایات جاری کر دی ہیں۔ بلوچستان کی ترقی کیلئےگوادر بندرگاہ کامکمل فعال ہوناانتہائی ضروری ہے۔,,,
777,"Deeply saddened by the news of a massive earthquake that struck southeastern region of Türkiye. I send my profound condolences & most sincere sympathies to my brother President 
@RTErdogan
 & brotherly people of Türkiye on the loss of precious lives & damage to infrastructure.",,,
778,My best wishes and prayers are with former President Asif Ali Zardari for quick recovery from covid and complete health.,,,
779,"Heartiest congratulations to 
@chrishipkins
 on becoming the 41st Prime Minister of New Zealand. I look forward to working with him to strengthen and expand the the relations between our two friendly countnries. I extend my best wishes to him.  ",,,
780,I visited the flood-hit areas of Balochistan today to oversee the ongoing relief work & express solidarity with the affected people. The federal government is working with the provincial government to provide immediate relief to the people. The work will be further accelerated.,,,
781,"Syed Ali Geelani personified the very essence of Kashmiris' struggle. Frail in body but firm in resolve, he powered the resistance movement with belief in the idea of freedom from Indian yoke. Geelani sahib remains as relevant to the freedom struggle today as he was in life.",,,
782,"Revival of IMF program, though critical to our economy, is not an end in itself. It offers a pathway to reorient our economy. We will have to work hard to make it self-sufficient. Pakistan must break out of economic straitjacket, which is only possible through structural reforms.",,,
783,"Congratulations to Pakistan Men's Volleyball Team for winning Central Asian Volleyball Championship. 

It is a testament to our players' grit, determination and hard work in reviving Pakistan's glory in the arena of sports.",,,
784,"In our meetings with a wide array of global leaders & other stakeholders during SCO & UNGA, my team and I made an earnest effort to present Pakistan as a credible partner ready to do business with the world. The damage inflicted on our foreign policy needed a healing touch.",,,
785,جلال پور پیر والا انٹر چینج پر ہونے والا آئل ٹینکر کا حادثہ نہایت ہی افسوناک ہے ۔ حادثے میں 20 قیمتی جانوں کے ضیاع پر دکھی اور رنجیدہ ہوں۔ میری دعائیں غم زدہ خاندانوں کے ساتھ ہیں۔ اللہ تعالی سے دعا ہے کہ وہ مرحومین کو اپنے جوار رحمت میں جگہ دے اور پسماندگان کو صبر جمیل عطا فرمائے,,,
786,اپنے بھائی عزت مآب شیخ تمیم بن حمد آل ثانی کی دعوت پر آج قطر روانہ ہو رہا ہوں۔ اس دورے سے دونوں ممالک کے درمیان دوستی اور بھائی چارے کے تعلق کی تجدید ہوں گی۔ ہم اپنے تاریخی دوطرفہ روابط کو اور بھی زیادہ موثر سٹرٹیجک تعلقات میں تبدیل کرنا چاہتے ہیں۔,,,
787,These are certainly challenging times in which people have suffered huge losses due to floods and tottential rains. I assured the flood affectees that we will not leave any stone unturned to provide them relief and ensure their rehabiliation.,,,
788,پاکستان موسمیاتی تبدیلی کے خطرے سے دوچار ہونے والے ممالک میں پانچویں نمبر پر ہے۔ پانی کی کمی کے خطرے کا براہِ راست اثر پاکستان کی زراعت پر ہے اور اس ضمن میں حکومت ہر ممکن اقدامات کرے گی۔ پانی کے بچاؤ اور اس کے ضیاع کو روکنے کے لیے ہم سب کو اپنا انفرادی کردار بھی ادا کرنا ہوگا۔,,,
789,"Honoured to be with 
@jonasgahrstore
 of , 
@CMshehbaz
 of  and other world leaders at #COP27 today. 

I shared the humanitarian community's perspectives on climate change, our obligations, our responsibilities and how we can better support people crushed by the #ClimateCrisis.",,,
790,"I condemn the incident of firing on PTI Chairman Imran Khan in the strongest words. I have directed Interior Minister for an immediate report on the incident. 

I pray for the recovery and health of PTI chairman & other injured people. 1/2",,,
791,"It was a long but productive day in Samarkand. In my meetings with leaders of our friendly countries, we agreed on enhancing trade & investment. I explained the flood ravages due to climate change. Food & energy shortages present a real challenge to our shared development agenda.",,,
